[    2814ms] [ERROR] Failed to fetch RSC payload for http://localhost:3001/cluster-4/. Falling back to browser navigation. TypeError: Failed to fetch
    at fetchServerResponse (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/router-reducer/fetch-server-response.js:58:27)
    at fastRefreshReducerImpl (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/router-reducer/reducers/fast-refresh-reducer.js:33:67)
    at clientReducer (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/router-reducer/router-reducer.js:41:67)
    at Object.action (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/shared/lib/router/action-queue.js:150:55)
    at runAction (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/shared/lib/router/action-queue.js:56:38)
    at dispatchAction (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/shared/lib/router/action-queue.js:113:9)
    at Object.dispatch (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/shared/lib/router/action-queue.js:145:40)
    at eval (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/use-reducer-with-devtools.js:130:21)
    at eval (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/app-router.js:304:25)
    at startTransition (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/react/cjs/react.development.js:2597:25)
    at Object.fastRefresh (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/app-router.js:303:48)
    at eval (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/react-dev-overlay/app/hot-reloader-client.js:277:28)
    at startTransition (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/react/cjs/react.development.js:2597:25)
    at processMessage (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/react-dev-overlay/app/hot-reloader-client.js:276:44)
    at WebSocket.handler (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/react-dev-overlay/app/hot-reloader-client.js:395:17) @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/app-index.js:32
[    3233ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/react-dom/cjs/react-dom.development.js:38559
[    3426ms] [ERROR] Warning: Prop `%s` did not match. Server: %s Client: %s%s style "opacity: 0;" "opacity:0" 
    at body
    at html
    at RootLayout (Server)
    at RedirectErrorBoundary (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/redirect-boundary.js:74:9)
    at RedirectBoundary (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/redirect-boundary.js:82:11)
    at NotFoundErrorBoundary (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/not-found-boundary.js:76:9)
    at NotFoundBoundary (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/not-found-boundary.js:84:11)
    at DevRootNotFoundBoundary (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/dev-root-not-found-boundary.js:33:11)
    at ReactDevOverlay (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/react-dev-overlay/app/ReactDevOverlay.js:87:9)
    at HotReload (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/react-dev-overlay/app/hot-reloader-client.js:321:11)
    at Router (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/app-router.js:207:11)
    at ErrorBoundaryHandler (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/error-boundary.js:113:9)
    at ErrorBoundary (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/error-boundary.js:160:11)
    at AppRouter (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/app-router.js:585:13)
    at ServerRoot (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/app-index.js:112:27)
    at Root (webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/app-index.js:117:11) @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/app-index.js:32
[    3636ms] [LOG] [calculateScale] {screenWidth: 1400, innerHeight: 900, browserZoom: 0.675, 계산값: 607.5} @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:558
[    3637ms] [LOG] [setCardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:576
[    3722ms] [LOG] [calculateScale] {screenWidth: 1400, innerHeight: 900, browserZoom: 0.675, 계산값: 607.5} @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:558
[    3723ms] [LOG] [setCardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:576
[    3779ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3781ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3797ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3798ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3866ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/client/components/react-dev-overlay/app/hot-reloader-client.js:186
[    3866ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3867ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3889ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3890ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3896ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3896ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3923ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3924ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3955ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3956ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3962ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3963ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3996ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    3997ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4021ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4022ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4028ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4029ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4055ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4055ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4061ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4062ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4088ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4088ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4093ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4094ms] [LOG] [render cardScale] 1.1728395061728396 @ webpack-internal:///(app-pages-browser)/./components/home-career/Sidebar.tsx:1654
[    4122ms] [WARNING] Image with src "/images/0/cluster 1/Image.png" has either width or height modified, but not the other. If you use CSS to change the size of your image, also include the styles 'width: "auto"' or 'height: "auto"' to maintain the aspect ratio. @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/shared/lib/utils/warn-once.js:15
